,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,160,162,164,166,168,170,172,174,176,178,180,
0,0.2088063722647786,0.18600567644276253,0.17470533158360546,0.14630446485793636,0.12280374767296366,0.10560322275460067,0.10130309152500992,0.09580292367320781,0.09060276497695853,0.09380286263618885,0.09410287179174169,0.11320345469527268,0.13500411999877926,0.15960487075411237,0.18830574663533434,0.21590658894619588,0.24940761131626332,0.278708505508591,0.3103094698934904,0.33941035798211616,0.37131133152256846,0.4115125583666494,0.4545138706625569,0.5008152836695456,0.5465166783654287,0.5898179998168889,0.6295192114017152,0.664120267342143,0.7011213965269936,0.7382225287636952,0.7750236518448439,0.8076246467482529,0.8417256874294259,0.8771267677846614,0.9113278115176855,0.9446288277840511,0.9785298623615223,1.0085307779168067,1.040131742301706,1.0681325968199713,1.0940333872493668,1.11443400982696,1.1407348124637593,1.1632354991302223,1.184936161381878,1.2072368419446395,1.2258374095889157,1.248238093203528,1.2656386242255928,1.282639143040254,1.2998396679586168,1.3119400372325816,1.3183402325510423,1.324340415662099,1.3327406720175787,1.381842170476394,1.347441120639668,1.3462410840174566,1.3446410351878415,1.3440410168767358,1.3408409192175055,1.3326406689657277,1.3216403332621234,1.3099399761955626,1.2974395947141941,1.2852392223883786,1.2686387157811214,1.2509381756035036,1.2327376201666311,1.2151370830408643,1.1943364482558672,1.1726357860042116,1.1504351084933013,1.1304344981231118,1.106933780938139,1.0807329813531907,1.0565322428052615,1.0296314218573563,1.0375316629535813,0.9799299050874355,0.9428287728507341,0.9171279885250405,0.8810268868068484,0.8419256935331279,0.8097247108371227,0.7878240424817652,0.7700234992522965,0.757623120822779,0.7531229834894864,0.7533229895931882,0.7559230689413129,
10,0.20490625324259165,0.1939059175389874,0.17480533463545642,0.1441043977172155,0.1227037446211127,0.10730327463606677,0.10280313730277413,0.10100308236945707,0.09310284127323222,0.09410287179174169,0.10540321665089877,0.12370377513962219,0.14550444044312877,0.17150523392437514,0.19590597857600636,0.2210067445905942,0.2549077791680654,0.28840880153813286,0.3215098117007965,0.3554108462782678,0.3908119266335032,0.42531297952208014,0.45991403546250803,0.4932150517288736,0.5291161473433638,0.568717355876339,0.6062185003204443,0.6463197241126744,0.6909210852381971,0.7293222571489608,0.7685234534745323,0.8007244361705375,0.8355254982146672,0.8682264961699271,0.9034275704214606,0.9414287301248208,0.9710296334727011,1.0007305398724327,1.030631452375866,1.0596323374126408,1.0872331797235024,1.1140339976195563,1.143334891811884,1.1692356822412793,1.1902363231299784,1.210136930448317,1.2300375377666555,1.2523382183294167,1.2751389141514329,1.28433919492172,1.2988396374401074,1.3116400280770288,1.3239404034546953,1.329840583513901,1.3351407452620014,1.3392408703878902,1.3453410565507982,1.3476411267433699,1.3452410534989472,1.3439410138248848,1.337840827661977,1.3291405621509447,1.3215403302102726,1.3101399822992645,1.3041397991882075,1.2829391521958067,1.2681387005218667,1.2477380779442733,1.2281374797814875,1.2085368816187017,1.1894362987151708,1.1683356547746206,1.1436349009674367,1.120534195989868,1.095633436078982,1.0730327463606677,1.0479319803460798,1.0192311044648579,0.9895301980651265,0.9539291116061892,0.9224281502731407,0.8919272194586017,0.8517259926145206,0.8082246650593585,0.7718235541856135,0.7403225928525651,0.7128217535935545,0.6911210913418989,0.6730205389568774,0.6629202307199317,0.6554200018311106,
20,0.20790634479812006,0.1996060914944914,0.17700540177617727,0.14440440687276834,0.12620385143589588,0.10940333872493668,0.10950334177678762,0.10690326242866299,0.10480319833979308,0.10810329905087436,0.11250343333231605,0.12860392468031862,0.1483045258949553,0.1681051301614429,0.19590597857600636,0.22790695516830958,0.25290771813104646,0.2752083986938078,0.3096094485305338,0.3467105807672354,0.38581177404095585,0.42741304361095,0.47131438337351605,0.5142156926175726,0.5502167912839138,0.5833178014465773,0.6122186834315012,0.6445196691793573,0.6792207281716361,0.7159218482009339,0.7570231025116734,0.7941242347483749,0.834025452436903,0.8712265877254555,0.9054276314584796,0.9407287087618641,0.9746297433393353,1.0068307260353406,1.035931614123966,1.0641324747459333,1.089733256019776,1.1195341654713584,1.1458349681081577,1.1671356181524095,1.1951364726706748,1.2167371318704796,1.2379377788628805,1.255938328196051,1.2734388622699668,1.2905393841364787,1.3020397350993378,1.3142401074251533,1.322540360728782,1.3308406140324107,1.3383408429212318,1.3467410992767115,1.3517412518692589,1.3527412823877683,1.3530412915433212,1.349341178624836,1.3464410901211585,1.337940830713828,1.3266404858546708,1.3134400830103456,1.2992396496475112,1.2853392254402294,1.2646385937070834,1.246238032166509,1.2249373821222571,1.2031367168187506,1.1822360789819024,1.1586353587450788,1.135634656819361,1.1104338877529223,1.0864331553086948,1.0597323404644916,1.032431507309183,1.003930637531663,0.9746297433393353,0.9442288155766473,0.9042275948362682,0.8610262764366589,0.8193250038148138,0.7718235541856135,0.7276222052674948,0.6883210058900724,0.6537199499496444,0.6256190923795282,0.5996182988982818,0.5773176183355205,0.5605171056245614,
30,0.20970639973143712,0.18900576799829097,0.17810543534653767,0.1525046540726951,0.13030397656178472,0.12130370189519944,0.11220342417676321,0.10680325937681204,0.11000335703604236,0.10760328379161962,0.11020336313974426,0.11710357371745964,0.12640385753959776,0.143104367198706,0.17150523392437514,0.2025061799981689,0.23660722067934203,0.26710815149388106,0.292008911404767,0.32470990936002686,0.3631110812707907,0.40751243629261147,0.4521137974181341,0.49451509140293587,0.5379164159062472,0.5802177068391979,0.6177188512833034,0.6482197820978424,0.6748205938901944,0.7030214545121617,0.7368224860377819,0.7804238166447951,0.8217250770592365,0.8630263374736777,0.9026275460066531,0.9391286599322489,0.9751297585985901,1.0085307779168065,1.0416317880794703,1.068832618182928,1.0997335612048709,1.1279344218268381,1.1530351878414258,1.1730357982116153,1.1919363750114444,1.213837043366802,1.2380377819147312,1.2558383251442,1.2699387554551835,1.2853392254402296,1.2961395550401318,1.3061398602252265,1.3176402111880856,1.3270404980620747,1.337840827661977,1.3451410504470962,1.349441181676687,1.3497411908322399,1.349341178624836,1.3497411908322396,1.3453410565507982,1.3376408215582751,1.3275405133213294,1.3138400952177496,1.2984396252327035,1.2784390148625142,1.257438373973815,1.2366377391888181,1.213937046418653,1.1893362956633198,1.1632354991302225,1.1390347605822932,1.1133339762565997,1.0873331827753532,1.0604323618274483,1.034331565294351,1.0066307199316387,0.9777298379467146,0.9469288979766228,0.9138278878139592,0.8788268196661275,0.8387255958738975,0.7950242622150334,0.744222711874752,0.6918211127048555,0.645019684438612,0.6052184698019348,0.572617474898526,0.542016541032136,0.5163157567064425,0.4956151249732963,
40,0.20720632343516343,0.1939059175389874,0.18030550248725852,0.15340468153935363,0.13670417188024536,0.12360377208777124,0.114503494369335,0.11400347911008027,0.11400347911008027,0.10980335093234046,0.11210342112491226,0.11710357371745964,0.12370377513962218,0.1346041077913755,0.14080429700613423,0.15940486465041048,0.19120583513901182,0.23000701925717948,0.2605079500717185,0.2897088412121952,0.33521022980437637,0.38311169164098025,0.4299131199072237,0.4767145481734672,0.5217159215063937,0.5679173314615314,0.6112186529129917,0.645119687490463,0.6716204962309641,0.6952212164677878,0.7230220648823511,0.7595231788079471,0.8041245399334697,0.849225916318247,0.8927272438734093,0.9340285042878507,0.9721296670430616,1.0083307718131047,1.041731791131321,1.0764328501236,1.105433735160375,1.1333345866267892,1.1569353068636128,1.181136045411542,1.2037367351298562,1.2225373088778344,1.2421379070406202,1.2570383617664114,1.2737388714255196,1.2883393169957578,1.3025397503585925,1.3120400402844326,1.3212403210547197,1.3313406292916654,1.3381408368175298,1.3425409710989715,1.3452410534989472,1.3465410931730095,1.3488411633655812,1.3428409802545245,1.3377408246101261,1.331940647602771,1.3212403210547197,1.3079399151585436,1.288139310892056,1.2713387981810969,1.2505381633960997,1.2277374675740838,1.2032367198706015,1.177235926389355,1.1540352183599354,1.1273344035157322,1.0981335123752556,1.0682325998718223,1.0407317606128117,1.013430927457503,0.9836300180059205,0.9528290780358287,0.9194280587176122,0.8858270332956939,0.8525260170293283,0.8127248023926512,0.772923587755974,0.7278222113711966,0.6769206579790643,0.6267191259498887,0.5791176732688376,0.542016541032136,0.5055154271065402,0.4745144810327464,0.4437135410626545,
50,0.362611066011536,0.2956090212714011,0.19760603045747246,0.17600537125766777,0.17390530716879787,0.14530443433942686,0.13620415662099064,0.12760389416180914,0.1248038087099826,0.12140370494705038,0.1233037629322184,0.1258038392284921,0.12970395825067904,0.1405042878505814,0.14860453505050814,0.15640477309488204,0.16970517899105808,0.19110583208716087,0.2307070406201361,0.27460838038270213,0.3217098178044984,0.3696112796411023,0.4162127018036439,0.46271412091433456,0.5107155858027894,0.557317007965331,0.5999183080538346,0.6382194769127476,0.6717204992828151,0.6990213324381238,0.7225220496230964,0.7568230964079714,0.7991243873409223,0.8472258552812281,0.895327323221534,0.9365285805841244,0.9778298409985656,1.0144309579760125,1.051532090212714,1.0831330545976134,1.114534012878811,1.14923507187109,1.1723357768486586,1.1956364879299295,1.21573710135197,1.2385377971739862,1.2592384289071323,1.2716388073366498,1.2855392315439313,1.2965395672475357,1.3097399700918606,1.3202402905362103,1.3253404461806086,1.3269404950102237,1.334240717795343,1.3423409649952696,1.3560413830988494,1.349541184728538,1.3428409802545245,1.3406409131138035,1.3374408154545732,1.3306406079287088,1.320540299691763,1.3085399334696493,1.292139432966094,1.2718388134403515,1.2491381206701866,1.2247373760185554,1.1992365977965636,1.173935825678274,1.1444349253822443,1.1180341196935943,1.0872331797235022,1.0576322763756218,1.0298314279610583,0.9997305093539233,0.9697295937986389,0.937228601947081,0.9028275521103549,0.8672264656514176,0.828325278481399,0.7877240394299143,0.7476228156376843,0.7147218115787225,0.6620202032532732,0.6144187505722221,0.5667172948393201,0.5208158940397352,0.47901461836603904,0.44251350444044313,0.4148126590777306,
60,0.22640690939054536,0.20870636921292765,0.19470594195379498,0.17150523392437514,0.15760480971709342,0.1462044618060854,0.14030428174687948,0.13730419019135107,0.133604077272866,0.12820391247291482,0.12760389416180914,0.13410409253212074,0.1437043855098117,0.15490472731711782,0.1630049745170446,0.17020519425031283,0.1828055787835322,0.1960059816278573,0.22110674764244515,0.26670813928647724,0.31250953703421125,0.3643111178930021,0.4120125736259041,0.45931401715140235,0.503715372173223,0.5490167546617024,0.5899180028687399,0.6282191717276528,0.6665203405865658,0.6945211951048311,0.7220220343638416,0.7524229621265297,0.7915241554002503,0.8390256050294503,0.8835269631031221,0.9266282784508805,0.967629529709769,1.0085307779168067,1.0448318857387004,1.0814330027161474,1.1149340250862148,1.1427348735007783,1.1726357860042116,1.1958364940336315,1.2192372081667533,1.2373377605517748,1.2529382366405226,1.2700387585070345,1.2850392162846767,1.297739603869747,1.3053398358104191,1.313040070802942,1.3213403241065707,1.3274405102694784,1.3346407300027467,1.3380408337656788,1.3407409161656545,1.3402409009063998,1.3360407727286598,1.3288405529953917,1.3234403881954406,1.3196402722251046,1.3083399273659475,1.2926394482253487,1.2738388744773705,1.2573383709219643,1.2373377605517748,1.2108369518112736,1.1843361430707724,1.1605354167302468,1.1340346079897459,1.1060337534714806,1.076632856227302,1.0497320352793968,1.0196311166722618,0.9890301828058717,0.9567291970580157,0.9223281472212898,0.8842269844660787,0.8498259346293526,0.8123247901852474,0.7740236213263344,0.7383225318155461,0.696721262245552,0.6579200781273843,0.6109186437574389,0.5580170293282877,0.5185158238471633,0.4779145847956786,0.44711364482558674,0.4073124301889096,
70,0.2399073213904233,0.22830696737571338,0.2193066927091281,0.19670600299081395,0.17800543229468674,0.1689051545762505,0.16010488601336711,0.15660477919858395,0.15360468764305552,0.14970456862086856,0.15330467848750268,0.1534046815393536,0.15890484939115573,0.16900515762810145,0.17360529801324504,0.1853056550798059,0.19840605487228005,0.2107064302499466,0.22890698568681905,0.2620079958494827,0.3103094698934904,0.35961097445600754,0.40911248512222664,0.45721395306253243,0.5026153386028627,0.5478167180394911,0.5904180181279947,0.6295192114017152,0.6643202734458449,0.6925211340678122,0.7169218787194434,0.750022888882107,0.7935242164372692,0.8367255348368785,0.8833269569994202,0.9269282876064333,0.9720296639912107,1.0137309366130558,1.0512320810571611,1.0876331919309061,1.120534195989868,1.1538352122562334,1.1805360271004364,1.204436756492813,1.2264374279000214,1.2449379924924466,1.2620385143589588,1.2763389507736442,1.2892393444624164,1.3000396740623188,1.3114400219733269,1.3212403210547197,1.3234403881954406,1.332040650654622,1.3348407361064485,1.3410409253212072,1.3422409619434188,1.337840827661977,1.3335406964323864,1.3279405255287333,1.322440357676931,1.3095399639881589,1.2927394512771997,1.2747389019440292,1.2571383648182624,1.2423379131443222,1.2184371837519457,1.1969365276039918,1.1726357860042116,1.150635114597003,1.1287344462416455,1.1027336527603993,1.0771328714865567,1.0522321115756708,1.0228312143314922,0.9894301950132756,0.956229181798761,0.9220281380657369,0.8858270332956938,0.8499259376812036,0.8097247108371227,0.7669234046449172,0.727222193060091,0.685120908230842,0.6377194616534928,0.5870179143650625,0.5425165562913907,0.4994152409436323,0.46021404461806087,0.4227129001739555,0.3830116885891293,
80,0.26260801416058843,0.24940761131626332,0.23080704367198707,0.21230647907956177,0.19480594500564594,0.1811055269020661,0.1773054109317301,0.17050520340586567,0.1639050019837031,0.16330498367259744,0.16840513931699577,0.17280527359843745,0.18270557573168125,0.19450593585009307,0.20410622882778406,0.21300650044251837,0.22340681783501695,0.2378072573015534,0.2528077150791955,0.28140858790856654,0.3258099429303873,0.37621148106326485,0.42641301309244056,0.4718143986327708,0.5168157719656972,0.5607171117282632,0.6033184118167669,0.643319632557146,0.6764206427198096,0.7021214270455032,0.7297222693563646,0.769123471785638,0.8162249092074344,0.8575261696218757,0.8991274391918699,0.9420287484359264,0.98463004852443,1.023031220435194,1.061032380138554,1.0951334208197272,1.1296344737083042,1.1624354747154149,1.1886362743003631,1.2153370891445663,1.2362377269814142,1.2549382976775414,1.2697387493514818,1.282339133884701,1.2962395580919828,1.309239954832606,1.317140195928831,1.3232403820917387,1.3297405804620501,1.3385408490249335,1.3416409436323131,1.3413409344767602,1.3422409619434188,1.3402409009063998,1.3306406079287088,1.3195402691732536,1.3091399517807552,1.2993396526993621,1.2855392315439313,1.265438618121891,1.2468380504776146,1.2263374248481704,1.206336814477981,1.183336112552263,1.156535294656209,1.133834601886044,1.10913384807886,1.0865331583605458,1.0582322946867275,1.028731394390698,1.0016305673390913,0.9723296731467634,0.9396286751915037,0.9055276345103306,0.8699265480513931,0.8380255745109408,0.7927241920224617,0.748122830896939,0.7073215857417523,0.6626202215643788,0.6199189184240241,0.5635171971800897,0.5090155339213233,0.4674142643513291,0.437013336588641,0.4011122409741508,0.3639111056855983,
90,0.2846086855677969,0.26950822473830377,0.2569078402050844,0.2397073152867214,0.22360682393871883,0.2128064943388165,0.20360621356852932,0.19940608539078952,0.1941059236426893,0.19230586870937225,0.20490625324259165,0.21170646076845606,0.21920668965727713,0.22920699484237192,0.23770725424970246,0.24760755638294626,0.2597079256569109,0.27220830713827937,0.28520870387890257,0.30540932035279394,0.3458105533005768,0.3943120334482864,0.4435135349589526,0.4895149388103885,0.5327162572099979,0.574417529831843,0.6158187932981353,0.6520198980681784,0.67962074037904,0.709821662038026,0.7475228125858333,0.7929241981261635,0.8348254768517106,0.8749267006439405,0.9172279915768914,0.9634294015320292,1.007630750450148,1.0451318948942534,1.0811329935605944,1.114534012878811,1.1465349894711143,1.173735819574572,1.1990365916928618,1.2266374340037234,1.246638044373913,1.2675386822107608,1.2818391186254463,1.294039490951262,1.3066398754844812,1.3193402630695517,1.3311406231879634,1.3337407025360881,1.334040711691641,1.3377408246101261,1.3419409527878658,1.3405409100619525,1.3392408703878904,1.3331406842249824,1.326340476699118,1.3212403210547197,1.3102399853511155,1.2971395855586414,1.2795390484328746,1.2606384716330454,1.2428379284035769,1.219437214270455,1.1948364635151218,1.1711357402264473,1.1474350169377727,1.1250343333231605,1.0998335642567216,1.074832801293985,1.0492320200201422,1.0218311838129825,0.9878301461836604,0.9552291512802515,0.9207280983916746,0.8863270485549486,0.8539260597552416,0.8109247474593342,0.7694234809411908,0.729022247993408,0.6896210455641347,0.64901980651265,0.5948181524094364,0.5465166783654287,0.4976151860103153,0.46171409039582506,0.421712869655446,0.3862117862483596,0.36001098666341136,
